,wlbEntryDate,wlbDiscovery
809,01.11.1994,30/8-1 S TUNE
810,14.11.1995,30/8-1 SR
812,13.11.1997,30/8-3
813,29.11.2008,30/8-4 S
817,31.12.1983,30/9-3 OSEBERG SØR
819,22.11.1984,30/9-4 S OSEBERG SØR
820,27.05.1985,30/9-5 S OSEBERG SØR
821,08.03.1987,30/9-6 OSEBERG SØR
822,02.11.1988,30/9-7 OSEBERG SØR
825,26.09.1989,30/9-9 OSEBERG SØR
826,31.07.1990,30/9-10 OSEBERG SØR
832,05.07.1991,30/9-13 S OSEBERG SØR
833,12.07.2002,30/9-13 S OSEBERG SØR
835,07.12.1993,30/9-15 OSEBERG SØR
836,14.06.1994,30/9-16 K OSEBERG SØR
840,09.09.1998,30/9-19
842,09.01.2002,30/9-20 S
843,04.05.2008,30/9-21 A
845,29.01.2009,30/9-22 STJERNE
851,15.01.2016,30/9-28 S
853,24.12.1973,30/10-2 ODIN
857,13.01.1992,30/10-6
863,05.12.1996,30/11-5 (Steinbit)
865,12.11.2008,30/11-7 (Fulla)
867,20.05.2011,30/11-8 A
868,20.03.2011,30/11-8 S (Krafla)
869,14.11.2013,30/11-9 A (Askja Øst)
870,22.09.2013,30/11-9 S (Askja)
871,02.11.2014,30/11-10 (Krafla Nord)
874,05.03.2016,30/11-11 S (Madam Felle)
876,08.04.2016,30/11-12 S (Askja Sørøst)
877,22.05.2016,30/11-13 (Beerenberg)
878,07.06.2016,30/11-14 (Slemmestad)
879,06.07.2016,30/11-14 B (Haraldsplass)
882,17.07.1979,31/2-1 TROLL VEST
883,26.10.1981,31/2-1 TROLL VEST
912,27.11.2002,31/2-1 TROLL VEST
920,24.12.1979,31/4-3 BRAGE
928,27.07.2000,31/4-11
941,15.07.1983,31/6-1 TROLL ØST
951,23.05.2016,31/7-1 (Brasse)
958,04.03.2015,33/2-2 S (Morkel)
970,23.06.1976,33/9-6 DELTA
971,11.09.1976,33/9-7 STATFJORD ØST
972,11.11.1976,33/9-8 STATFJORD NORD
985,29.06.1996,33/9-19 S SYGNA
990,01.12.1973,33/12-1 STATFJORD
997,26.04.2002,33/12-8 A SKINFAKS
998,26.03.2002,33/12-8 S SKINFAKS 
999,28.10.2011,33/12-9 S (Skinfaks Sør)
1007,28.04.2008,34/3-1 S KNARR
1010,10.09.2011,34/3-3 S
1014,11.07.1979,34/4-1 SNORRE
1018,13.11.1983,34/4-5
1023,12.02.2000,34/4-10 (Beta Brent)
1024,13.03.2000,34/4-10 (Beta Brent)
1025,13.10.2009,34/4-11 (Beta)
1026,27.01.2010,34/4-12 A
1027,19.12.2009,34/4-12 S
1031,07.01.2010,34/5-1 S
1034,06.08.2012,34/6-2 S (Garantiana)
1035,25.09.2014,34/6-3 A (Akkar)
1045,05.02.1986,34/7-8 VIGDIS
1049,11.10.1987,34/7-12 TORDIS
1062,19.10.1992,34/7-21 BORG
1064,15.08.1993,34/7-22 TORDIS ØST
1066,22.02.1994,34/7-23 S
1068,31.07.1996,34/7-25 S
1082,14.02.2009,34/7-34
1086,11.11.1985,34/8-1 VISUND
1092,06.12.1990,34/8-4 S
1095,21.03.1992,34/8-7
1096,19.11.1992,34/8-7
1102,06.11.2001,34/8-12 S
1103,17.03.2009,34/8-13 A
1104,14.05.2009,34/8-13 S
1109,17.09.2008,34/8-14 S VISUND SØR
1110,03.01.2013,34/8-15 S
1111,29.09.2015,34/8-16 S (Tarvos)
1112,16.01.2014,34/8-17 S
1113,20.06.1978,34/10-1 GULLFAKS
1114,09.09.1978,34/10-2 GULLFAKS SØR
1134,22.02.1983,34/10-17 RIMFAKS
1140,06.05.1985,34/10-23 VALEMON
1157,10.04.1991,34/10-34 GULLFAKS VEST
1158,06.10.2001,34/10-34 GULLFAKS VEST
1161,26.01.1995,34/10-37 GULLVEIG
1166,13.08.1995,34/10-40 S
1169,25.02.2001,34/10-43 S
1170,30.05.2001,34/10-44 S RIMFAKS LUNDE
1172,10.10.2003,34/10-45 B
1173,03.11.2001,34/10-45 S
1174,01.02.2002,34/10-46 A
1176,13.11.2001,34/10-46 A
1178,22.09.2002,34/10-47 S GULLTOPP
1180,17.03.2004,34/10-48 S GIMLE
1183,20.03.2006,34/10-49 S ALUN
1184,18.06.2011,34/10-52 A
1185,07.08.2011,34/10-52 B
1187,24.03.2011,34/10-53 A
1188,06.12.2010,34/10-53 S
1189,11.02.2014,34/10-54 A
1190,02.09.2013,34/10-54 S
1191,07.07.1994,34/11-1 KVITEBJØRN
1192,16.01.1996,34/11-2 S (Nøkken)
1197,03.11.2007,34/12-1 (Afrodite)
1200,21.07.2005,35/2-1 (Peon)
1201,15.06.2006,35/2-1 (Peon)
1205,19.05.1980,35/3-2 AGAT
1210,28.06.2009,35/3-7 S
1215,27.07.1980,35/8-1 VEGA
1216,30.08.1981,35/8-2 VEGA
1217,06.07.1988,35/8-3 (Aurora)
1220,22.04.2016,35/8-6 A
1222,01.04.1989,35/9-1 GJØA
1223,03.07.1989,35/9-1 GJØA
1224,01.01.1991,35/9-2
1225,23.09.1997,35/9-3
1228,29.09.2010,35/9-6 S
1229,28.02.2012,35/9-7 (Skarfjell)
1237,01.08.1991,35/10-1
1238,16.04.1996,35/10-2
1241,20.07.1987,35/11-2 VEGA SØR
1243,18.08.1990,35/11-4 FRAM
1245,27.06.1991,35/11-5
1247,23.07.1992,35/11-7
1248,03.03.1996,35/11-8 S
1254,18.03.2005,35/11-13 BYRDING
1256,01.04.2007,35/11-15 S FRAM H-NORD
1258,24.03.2014,35/11-17 (F-Vest)
1259,19.08.2015,35/11-18 (Syrah)
1266,30.05.2009,35/12-2 (Grosbeak)
1274,31.03.1996,36/7-1
1275,02.09.1997,36/7-2
1277,18.07.2016,36/7-4
1278,13.08.1987,6201/11-1
1280,08.05.2012,6201/11-3 (Albert)
1281,15.08.2012,6201/11-3 (Albert)
1285,04.11.1997,6204/10-2
1286,12.10.1994,6204/11-1
1290,24.06.2005,6302/6-1 (Tulipan)
1294,27.07.1997,6305/5-1 ORMEN LANGE
1303,08.06.1997,6306/5-1
1311,20.06.2003,6405/7-1 (Ellida)
1312,05.07.2007,6405/10-1 (Midnattsol)
1314,05.04.2001,6406/1-1 (Erlend Nord).
1315,26.06.2003,6406/1-2 (Sklinna Sør)
1320,30.10.1994,6406/2-1 LAVRANS
1321,21.08.1995,6406/2-1 LAVRANS
1324,24.08.1996,6406/2-3 KRISTIN
1329,25.08.1998,6406/2-6 RAGNFRID
1331,17.05.2000,6406/2-6 RAGNFRID
1332,22.09.1999,6406/2-7 (Erlend)
1333,17.01.2015,6406/2-8 (Imsa Sør)
1335,28.06.1986,6406/3-2 (Trestakk)
1341,16.05.2010,6406/3-8 MARIA
1342,09.11.2011,6406/3-9
1343,23.12.2001,6406/5-1
1346,14.04.2013,6406/6-3 (Mjøsa)
1348,11.08.2015,6406/6-4 S
1351,15.06.2004,6406/9-1 LINNORM
1353,18.04.2013,6406/9-3 (Onyx Sør)
1354,19.10.1990,6406/11-1 S
1357,26.04.2014,6406/12-3 A (Bue)
1359,21.01.2014,6406/12-3 S (Pil)
1361,23.06.2015,6406/12-4 S (Boomerang)
1364,13.11.1982,6407/1-2 TYRIHANS SØR
1365,17.09.1983,6407/1-3 TYRIHANS NORD
1368,07.12.2012,6407/1-6 S
1369,01.02.2014,6407/1-7
1375,26.07.2009,6407/2-5 S (Nona)
1376,03.04.2010,6407/2-6 S (Flyndretind)
1378,20.07.1985,6407/4-1 (Spinell Sør)
1381,28.07.2011,6407/5-2 S (Cortina)
1386,13.12.1986,6407/6-3 MIKKEL
1389,02.01.2008,6407/6-6 MIKKEL SØR
1390,12.04.2009,6407/6-7 S MIKKEL SØR
1391,19.10.1985,6407/7-1 S NJORD
1397,18.10.2000,6407/7-6
1398,03.08.2007,6407/7-7 S
1399,18.06.2008,6407/7-8 (Noatun)
1404,19.10.1994,6407/8-2 (Tau)
1406,22.05.2008,6407/8-4 A
1407,20.04.2008,6407/8-4 S
1408,30.05.2009,6407/8-5 S HYME
1409,02.05.2009,6407/8-5 S HYME
1410,20.09.2013,6407/8-6 (Snilehorn)
1414,26.06.1984,6407/9-1 DRAUGEN
1423,22.06.1999,6407/9-9 (Hasselmus)
1437,10.07.2000,6506/6-1 (Victoria)
1440,11.02.2010,6506/9-2 S (Fogelberg)
1441,16.06.2013,6506/9-3 (Smørbukk Nord)
1443,08.05.1991,6506/11-2 (Lange)
1448,25.01.2001,6506/11-7 MORVIN
1451,16.08.1984,6506/12-1 SMØRBUKK
1453,02.03.1985,6506/12-3 SMØRBUKK SØR
1465,01.06.2009,6506/12-12 S
1468,21.10.1991,6507/2-2 MARULK
1471,12.05.1990,6507/3-1 ALVE
1473,23.12.1998,6507/3-3 IDUN
1477,28.02.2008,6507/3-5 S
1479,02.06.2009,6507/3-7 (Idun Nord)
1480,09.11.2009,6507/3-8 (Gjøk)
1481,01.06.2012,6507/3-9 S
1482,25.06.2013,6507/3-10 (Klara)
1484,24.12.1997,6507/5-1 SKARV
1486,15.05.2000,6507/5-3 SNADD
1490,12.01.2010,6507/5-6 S
1498,25.02.1985,6507/7-2 HEIDRUN
1510,12.12.2000,6507/7-13
1512,14.06.2010,6507/7-14 S DVALIN
1513,09.01.2012,6507/7-15 S DVALIN
1517,14.06.1990,6507/8-4 HEIDRUN NORD
1523,10.11.2013,6507/10-2 S (Novus)
1524,13.09.1981,6507/11-1 MIDGARD
1529,13.06.2001,6507/11-6 SIGRID
1531,31.05.2007,6507/11-8
1532,12.03.2008,6507/11-9 (Natalia)
1540,20.08.2011,6508/1-2
1545,26.03.2009,6603/12-1 (Gro)
1547,26.05.2010,6604/10-1
1549,14.06.2005,6605/8-1
1555,22.07.2011,6607/12-2 S (Alve Nord)
1556,22.10.2012,6607/12-3
1561,28.10.1991,6608/10-2 NORNE
1564,15.12.1993,6608/10-4
1566,29.02.2000,6608/10-6 SVALE
1567,27.11.2000,6608/10-6 SVALE
1568,13.08.2001,6608/10-6 SVALE
1570,29.12.2001,6608/10-8 STÆR
1572,23.01.2003,6608/10-9 LERKE
1574,12.07.2006,6608/10-11 S (Trost)
1575,19.10.2008,6608/10-12 SKULD
1578,22.02.2010,6608/10-14 S SKULD
1579,20.08.2013,6608/10-6 SVALE
1582,28.10.2000,6608/11-2 (Falk)
1584,01.05.2004,6608/11-4 LINERLE
1603,05.02.2009,6705/10-1 (Asterix)
1604,02.05.2003,6706/6-1 (Hvitveis)
1606,25.05.2015,6706/11-2 (Gymir)
1607,12.07.2008,6706/12-1
1608,20.02.2015,6706/12-2 (Snefrid Nord)
1609,23.03.2015,6706/12-3 (Roald Rygg)
1610,19.04.1997,6707/10-1 AASTA HANSTEEN
1611,14.10.2008,6707/10-2 A
1612,31.08.2008,6707/10-2 S
1613,06.10.2014,6707/10-3 S (Ivory)
1616,06.10.2000,7019/1-1
1623,20.05.1983,7119/12-3
1628,01.01.1989,7120/1-2
1629,16.07.2013,7120/1-3 (Gohta)
1633,15.05.2011,7120/2-3 S (Skalle)
1638,31.07.1982,7120/7-1 ASKELADD VEST
1639,26.05.1983,7120/7-2 ASKELADD SENTRAL
1641,28.06.1981,7120/8-1 ASKELADD
1645,25.07.1982,7120/9-1 ALBATROSS
1650,15.04.1981,7120/12-2 (Alke Sør)
1651,16.03.1983,7120/12-3 (Alke Nord)
1656,06.08.1984,7121/4-1 SNØHVIT
1657,29.01.1985,7121/4-2 SNØHVIT NORD
1659,26.05.1986,7121/5-2 (Snøhvit Beta)
1662,07.07.1986,7121/7-2 ALBATROSS SØR
1666,06.09.1987,7122/6-1 (Tornerose)
1668,16.09.2000,7122/7-1 GOLIAT
1670,24.10.2005,7122/7-3
1671,21.09.2006,7122/7-4 S KLAPPMYS
1677,29.05.1987,7124/3-1 (Bamse)
1679,30.11.1988,7125/1-1 (Binne)
1680,17.01.2007,7125/4-1 (Nucula)
1683,17.12.1993,7128/4-1 (Omd Vest)
1685,22.11.2015,7130/4-1
1691,16.07.2013,7219/8-2 (Iskrystall)
1694,26.09.2014,7220/2-1 (Isfjell)
1695,22.12.2013,7220/4-1 (Kramsnø)
1697,19.05.2013,7220/5-2 (Nunatak)
