wellbore	date	discovered_oil	discovered_gas	discovered_oe
HULDRA	1982-05-17	5.10	17.20	22.40
GUNGNE	1982-05-28	0.00	14.70	21.40
6407/2-1	1982-06-03	0.00	0.00	0.00
16/7-3	1982-06-11	0.00	0.00	0.00
30/6-8	1982-06-15	0.00	0.00	0.00
31/2-8	1982-06-16	0.00	0.00	0.00
2/2-2	1982-07-04	0.00	0.00	0.00
6507/10-1	1982-07-10	0.00	0.00	0.00
SNØHVIT	1982-07-25	0	0	0
16/1-3	1982-07-29	0.00	0.00	0.00
SNØHVIT	1982-07-31	0.00	225.10	261.50
7/11-6	1982-08-09	0.00	0.00	0.00
TAMBAR	1982-08-22	9.50	2.00	12.00
OSEBERG	1982-08-28	0	0	0
8/3-2	1982-10-04	0.00	0.00	0.00
SIGYN	1982-10-15	0.00	6.50	15.60
6407/1-1	1982-10-19	0.00	0.00	0.00
2/6-3	1982-11-09	0.00	0.00	0.00
2/1-5	1982-11-13	0.00	0.00	0.00
TYRIHANS	1982-11-13	33.10	42.50	84.10
30/11-3	1982-11-17	0.00	0.00	0.00
SLEIPNER ØST	1982-12-09	0	0	0
30/6-11	1982-12-20	0.00	0.00	0.00
COD	1982-12-29	0	0	0
2/2-3	1983-02-04	0.00	0.00	0.00
TAMBAR	1983-02-15	0	0	0
GULLFAKS SØR	1983-02-22	0	0	0
7120/12-3	1983-03-16	0.00	0.00	0.00
30/3-3	1983-04-02	0.00	0.00	0.00
6610/7-1	1983-04-18	0.00	0.00	0.00
7117/9-2	1983-05-07	0.00	0.00	0.00
6609/11-1	1983-05-19	0.00	0.00	0.00
7119/12-3	1983-05-20	0.00	0.00	0.00
SNØHVIT	1983-05-26	0	0	0
6609/7-1	1983-06-21	0.00	0.00	0.00
7119/7-1	1983-07-12	0.00	0.00	0.00
TROLL	1983-07-15	0	0	0
34/10-18	1983-07-16	0.00	0.00	0.00
6609/10-1	1983-08-02	0.00	0.00	0.00
2/5-7	1983-08-11	0.00	0.00	0.00
6610/7-2	1983-08-28	0.00	0.00	0.00
7/8-3	1983-09-12	0.00	0.00	0.00
TYRIHANS	1983-09-17	0	0	0
7/11-8	1983-09-22	0.00	0.00	0.00
31/6-3	1983-11-01	0.00	0.00	0.00
34/4-5	1983-11-13	0.00	0.00	0.00
15/9-18	1983-12-16	0.00	0.00	0.00
OSEBERG ØST	1983-12-17	0	0	0
34/10-20	1983-12-23	0.00	0.00	0.00
OSEBERG SØR	1983-12-31	64.10	16.70	82.40
30/11-4	1984-01-25	0.00	0.00	0.00
7120/12-4	1984-02-18	0.00	0.00	0.00
7120/7-3	1984-03-18	0.00	0.00	0.00
ULA	1984-03-24	0	0	0
6406/3-1	1984-04-27	0.00	0.00	0.00
OSEBERG	1984-05-02	0	0	0
35/11-1	1984-05-23	0.00	0.00	0.00
2/3-4	1984-05-28	0.00	0.00	0.00
DRAUGEN	1984-06-26	148.20	1.70	152.70
7119/9-1	1984-06-28	0.00	0.00	0.00
16/7-5	1984-07-02	0.00	0.00	0.00
SNØHVIT	1984-08-06	0	0	0
6507/7-1	1984-08-10	0.00	0.00	0.00
7120/10-1	1984-08-10	0.00	0.00	0.00
ÅSGARD	1984-08-16	102.40	206.70	364.30
34/7-2	1984-09-02	0.00	0.00	0.00
2/1-7	1984-09-06	0.00	0.00	0.00
16/4-1	1984-09-08	0.00	0.00	0.00
VARG	1984-09-13	16.10	1.00	17.40
6407/6-1	1984-09-16	0.00	0.00	0.00
COD	1984-09-29	0	0	0
1/3-5	1984-10-01	0.00	0.00	0.00
31/3-3	1984-10-13	0.00	0.00	0.00
GAUPE	1984-11-02	0.20	0.40	0.60
6609/5-1	1984-11-03	0.00	0.00	0.00
30/6-16	1984-11-09	0.00	0.00	0.00
OSEBERG SØR	1984-11-22	0	0	0
7/8-4	1984-12-11	0.00	0.00	0.00
SNØHVIT	1985-01-29	0	0	0
24/6-1 PEIK	1985-02-09	0.00	0.00	0.00
6506/12-2	1985-02-12	0.00	0.00	0.00
HEIDRUN	1985-02-25	183.30	47.30	232.80
ÅSGARD	1985-03-02	0	0	0
34/2-4	1985-03-22	0.00	0.00	0.00
6506/12-4	1985-03-24	0.00	0.00	0.00
7120/5-1	1985-04-17	0.00	0.00	0.00
7120/2-1	1985-05-05	0.00	0.00	0.00
VALEMON	1985-05-06	4.60	23.60	29.40
OSEBERG SØR	1985-05-27	0	0	0
6407/4-1	1985-07-20	0.00	0.00	0.00
OSEBERG	1985-08-01	0	0	0
OSEBERG	1985-08-12	0	0	0
6406/6-1	1985-08-15	0.00	0.00	0.00
6507/12-3	1985-08-16	0.00	0.00	0.00
7120/1-1	1985-08-16	0.00	0.00	0.00
6407/6-2	1985-10-04	0.00	0.00	0.00
7121/1-1	1985-10-10	0.00	0.00	0.00
NJORD	1985-10-19	27.50	13.80	44.40
VISUND	1985-11-11	34.90	52.30	93.40
OSEBERG	1985-11-14	0	0	0
6/3-2	1985-11-21	0.00	0.00	0.00
7/11-9	1985-11-26	0.00	0.00	0.00
25/2-10 S	1985-12-02	14.42	0.00	14.42
7120/1-1 R	1985-12-02	0.00	0.00	0.00
25/6-1	1985-12-18	0.00	0.00	0.00
OSEBERG	1986-02-04	0	0	0
VIGDIS	1986-02-05	69.40	1.90	72.50
30/6-20	1986-03-10	0.00	0.00	0.00
7120/1-1 R2	1986-03-13	0.00	0.00	0.00
7121/1-1 R	1986-03-18	0.00	0.00	0.00
OSEBERG ØST	1986-04-09	0	0	0
25/7-1 S	1986-04-14	0.00	0.00	0.00
2/11-7	1986-04-16	0.00	0.00	0.00
6407/6-2 R	1986-05-08	0.00	0.00	0.00
29/3-1	1986-05-20	0.00	0.00	0.00
16/10-1	1986-05-25	0.00	0.00	0.00
7121/5-2 BETA	1986-05-26	0.00	0.00	0.00
6407/6-2 R2	1986-06-13	0.00	0.00	0.00
6507/6-1	1986-06-15	0.00	0.00	0.00
6507/2-1	1986-06-24	0.00	0.00	0.00
6406/3-2 TRESTAKK	1986-06-28	8.84	1.68	10.94
SNØHVIT	1986-07-07	0	0	0
6607/12-1	1986-07-19	0.00	0.00	0.00
6608/11-1	1986-07-19	0.00	0.00	0.00
9/3-1	1986-07-29	0.00	0.00	0.00
25/1-9	1986-09-09	0.00	0.00	0.00
34/8-2	1986-10-04	0.00	0.00	0.00
2/12-1 MJØLNER	1986-10-14	3.00	0.81	3.89
MIKKEL	1986-12-13	5.90	31.00	47.50
YME	1987-02-21	18.50	0.00	18.50
OSEBERG SØR	1987-03-08	0	0	0
6508/5-1	1987-04-22	0.00	0.00	0.00
6407/10-1	1987-05-07	0.00	0.00	0.00
1/9-1 TOMMELITEN ALPHA	1987-05-08	0	0	0
26/4-1	1987-05-08	0.00	0.00	0.00
FRØY	1987-05-12	5.60	1.60	7.30
6507/11-4	1987-05-16	0.00	0.00	0.00
7124/3-1	1987-05-29	0.00	0.00	0.00
6607/5-1	1987-06-09	0.00	0.00	0.00
7321/8-1	1987-06-23	0.00	0.00	0.00
VEGA	1987-07-20	0	0	0
9/2-2	1987-08-08	0.00	0.00	0.00
6201/11-1	1987-08-13	0.00	0.00	0.00
6507/8-2	1987-08-15	0.00	0.00	0.00
7122/6-1	1987-09-06	0.00	3.69	3.87
6406/8-1	1987-09-15	0.00	0.00	0.00
25/2-10 S	1987-09-16	0	0	0
34/7-11	1987-10-02	0.00	0.00	0.00
TORDIS	1987-10-11	63.20	4.80	69.80
EMBLA	1987-10-15	0	0	0
7226/11-1	1987-10-22	0.00	0.00	0.00
7219/9-1	1987-11-17	0.00	0.00	0.00
6407/5-1	1987-12-11	0.00	0.00	0.00
6506/11-1	1987-12-30	0.00	0.00	0.00
6406/3-5	1988-04-03	0.00	0.00	0.00
7224/7-1	1988-04-13	0.00	0.00	0.00
25/1-10	1988-04-19	0.00	0.00	0.00
6407/9-7	1988-04-26	0.00	0.00	0.00
7321/7-1	1988-06-26	0.00	0.00	0.00
35/8-3	1988-07-06	0.00	2.65	3.23
2/4-13	1988-09-03	0.00	0.00	0.00
6507/8-3	1988-09-03	0.00	0.00	0.00
6408/4-1	1988-09-18	0.00	0.00	0.00
2/4-14	1988-10-06	0.00	0.00	0.00
7321/9-1	1988-10-25	0.00	0.00	0.00
OSEBERG SØR	1988-11-02	0	0	0
2/8-12 S	1988-11-07	0.00	0.00	0.00
7125/1-1	1988-11-30	0.00	0.00	0.00
7120/1-2	1989-01-01	0.00	0.00	0.00
2/4-15 S	1989-01-31	0.00	0.00	0.00
33/12-7	1989-02-22	0.00	0.00	0.00
BLANE	1989-03-20	0.90	0.00	0.90
GJØA	1989-04-01	11.80	34.10	54.90
6608/10-1	1989-04-15	0.00	0.00	0.00
2/8-13	1989-04-29	0.00	0.00	0.00
2/4-14 R	1989-05-01	0.00	0.00	0.00
7324/10-1	1989-06-03	0.00	0.00	0.00
35/11-3 S	1989-06-27	0.00	0.00	0.00
GJØA	1989-07-03	0	0	0
25/3-1	1989-07-05	0.00	0.00	0.00
16/3-3	1989-07-24	0.00	0.00	0.00
7228/2-1 S	1989-08-21	0.00	0.00	0.00
2/9-3	1989-09-13	0.00	0.00	0.00
TRYM	1989-09-20	1.70	4.00	5.70
OSEBERG SØR	1989-09-26	0	0	0
6205/3-1	1989-10-24	0.00	0.00	0.00
YME	1989-12-04	0	0	0
7228/9-1 S	1989-12-22	0.00	0.00	0.00
7/7-1	1989-12-30	0.00	0.00	0.00
2/7-19	1990-01-15	0	0	0
SKIRNE	1990-01-27	2.30	10.30	12.60
25/7-2	1990-02-08	0.00	0.00	0.00
2/4-14 R2	1990-04-06	0.00	0.00	0.00
2/6-4 S	1990-04-08	0.00	0.00	0.00
6407/10-2	1990-05-03	0.00	0.00	0.00
OSEBERG	1990-05-09	0	0	0
ALVE	1990-05-12	1.70	5.40	8.10
2/7-22	1990-05-17	0.00	0.00	0.00
34/7-15 S	1990-05-23	0.00	0.00	0.00
HEIDRUN	1990-06-14	0	0	0
16/4-2	1990-06-29	0.00	0.00	0.00
1/6-5	1990-07-20	0.00	0.00	0.00
7120/10-2	1990-07-20	0.00	0.00	0.00
OSEBERG SØR	1990-07-31	0	0	0
2/8-14	1990-08-14	0.00	0.00	0.00
FRAM	1990-08-18	32.50	8.80	42.10
6306/10-1	1990-09-07	0.00	0.00	0.00
6205/3-1 R	1990-09-20	0.00	0.00	0.00
6406/11-1 S	1990-10-19	0.00	0.00	0.00
30/9-11	1990-10-27	0.00	0.00	0.00
15/12-7 S	1990-11-06	0.00	0.00	0.00
2/7-24	1990-11-07	0.00	0.00	0.00
30/9-11 A	1990-11-20	0.00	0.00	0.00
VISUND	1990-12-06	0	0	0
6406/12-1 S	1990-12-15	0.00	0.00	0.00
SKIRNE	1990-12-22	0	0	0
GJØA	1991-01-01	0	0	0
6201/11-2	1991-01-11	0.00	0.00	0.00
7120/2-2	1991-01-27	0.00	0.00	0.00
6507/8-5	1991-03-02	0.00	0.00	0.00
OSELVAR	1991-03-11	2.60	1.70	4.30
2/11-8	1991-04-03	0.00	0.00	0.00
GULLFAKS	1991-04-10	0	0	0
GYDA	1991-04-15	0	0	0
VALE	1991-04-15	2.60	2.40	5.00
TOMMELITEN GAMMA	1991-04-21	0	0	0
6507/6-2	1991-04-27	0.00	0.00	0.00
SLEIPNER ØST	1991-04-28	0	0	0
2/4-16	1991-05-07	0.00	0.00	0.00
6506/11-2 LANGE	1991-05-08	0.54	0.24	0.84
15/12-8	1991-06-05	0.00	0.00	0.00
16/10-2	1991-06-20	0.00	0.00	0.00
35/11-5	1991-06-27	0.00	0.00	0.00
OSEBERG SØR	1991-07-05	0	0	0
7/12-5	1991-07-08	0	0	0
34/7-18	1991-07-20	0.00	0.00	0.00
2/4-17 TJALVE	1991-07-21	0.59	0.84	1.43
6305/12-1	1991-07-29	0.00	0.00	0.00
35/10-1	1991-08-01	0.00	0.00	0.00
6607/5-2	1991-08-07	0.00	0.00	0.00
7128/6-1	1991-08-11	0.00	0.00	0.00
7/12-11	1991-08-31	0.00	0.00	0.00
2/5-9	1991-09-10	0.00	0.00	0.00
34/8-6	1991-09-21	0.00	0.00	0.00
30/6-24 S	1991-10-13	0.00	0.00	0.00
EMBLA	1991-10-14	0	0	0
MARULK	1991-10-21	0.50	7.20	8.40
NORNE	1991-10-28	91.00	11.30	103.80
2/2-5	1991-11-07	0.00	0.00	0.00
2/1-10	1991-11-09	0.00	0.00	0.00
GRANE	1991-11-10	131.80	0.00	131.80
7122/4-1	1991-11-13	0.00	0.00	0.00
3/7-5	1991-12-06	0.00	0.00	0.00
30/10-6	1992-01-13	0.00	0.00	0.00
BRYNHILD	1992-01-20	3.60	0.00	3.60
1/6-6	1992-02-10	0.00	0.00	0.00
35/12-1	1992-02-27	0.00	0.00	0.00
1/6-7	1992-03-16	0.00	0.00	0.00
34/8-7	1992-03-21	0.00	0.00	0.00
6407/8-1	1992-03-27	0.00	0.00	0.00
33/9-15	1992-04-23	0.00	0.00	0.00
25/6-2	1992-04-26	0.00	0.00	0.00
6407/10-3	1992-05-29	0.00	0.00	0.00
2/4-16 R	1992-06-04	0.00	0.00	0.00
10/7-1	1992-06-28	0.00	0.00	0.00
SVALIN	1992-06-29	12.30	0.00	12.30
6506/11-3	1992-07-08	0.00	0.00	0.00
34/7-20	1992-07-18	0.00	0.00	0.00
7316/5-1	1992-07-21	0.00	0.00	0.00
FRAM	1992-07-23	0	0	0
25/8-4	1992-07-25	11.40	0.00	11.40
6407/9-8	1992-08-14	0.00	0.00	0.00
30/10-7	1992-09-08	0.00	0.00	0.00
7219/8-1 S	1992-10-05	0.00	0.00	0.00
7122/2-1	1992-10-07	0.00	0.00	0.00
TORDIS	1992-10-19	0	0	0
6610/3-1	1992-10-29	0.00	0.00	0.00
25/2-15	1992-11-14	0.00	0.00	0.00
VOLVE	1992-11-18	9.50	0.90	10.70
34/8-7	1992-11-19	0	0	0
33/9-16	1992-11-28	0.00	0.00	0.00
25/2-15 R	1993-02-06	0.00	0.00	0.00
2/10-2	1993-02-16	0.00	0.00	0.00
VOLVE	1993-02-17	0	0	0
25/11-17	1993-03-01	0.00	0.00	0.00
25/2-15 R2	1993-03-06	0.00	0.00	0.00
16/1-4	1993-03-17	0.00	0.00	0.00
15/6-7	1993-04-24	0.00	0.00	0.00
2/4-18	1993-04-26	0.00	0.00	0.00
2/5-10	1993-05-23	0.00	0.00	0.00
7/4-1	1993-07-05	0.00	0.00	0.00
2/11-9	1993-07-24	0.00	0.00	0.00
7229/11-1	1993-08-09	0.00	0.00	0.00
TORDIS	1993-08-15	0	0	0
2/5-10 A	1993-08-27	0.00	0.00	0.00
6507/8-6	1993-08-29	0.00	0.00	0.00
6610/3-1 R	1993-09-16	0.00	0.00	0.00
2/7-29	1993-09-18	0.00	0.00	0.00
6507/7-10	1993-09-28	0.00	0.00	0.00
6305/12-2	1993-10-16	0.00	0.00	0.00
VOLUND	1993-12-07	9.90	0.90	10.80
OSEBERG SØR	1993-12-07	0	0	0
NORNE	1993-12-15	0	0	0
7128/4-1	1993-12-17	0.00	0.00	0.00
VESLEFRIKK	1993-12-26	0	0	0
30/12-1	1994-01-06	0.00	0.00	0.00
3/4-1	1994-01-11	0.00	0.00	0.00
GUNGNE	1994-02-16	0	0	0
2/4-18 R	1994-02-19	0.00	0.00	0.00
VIGDIS	1994-02-22	0	0	0
HOD	1994-02-28	0	0	0
6507/2-3	1994-03-14	0.00	0.00	0.00
33/9-17	1994-04-02	0.00	0.00	0.00
OSEBERG ØST	1994-05-15	0	0	0
34/4-8	1994-05-22	0.00	0.00	0.00
OSEBERG SØR	1994-06-14	0	0	0
6306/6-1	1994-06-22	0.00	0.00	0.00
KVITEBJØRN	1994-07-07	27.80	90.70	130.50
JOTUN	1994-07-21	0	0	0
6204/11-1	1994-10-12	0.00	0.00	0.00
6407/8-2	1994-10-19	0.00	0.00	0.00
6406/2-1 LAVRANS	1994-10-30	2.43	9.33	12.53
TUNE	1994-11-01	3.30	18.50	22.00
33/9-18	1994-11-16	0.00	0.00	0.00
33/9-18 A	1994-12-21	0.00	0.00	0.00
GULLFAKS SØR	1995-01-26	0	0	0
2/7-30	1995-02-27	0.00	0.00	0.00
30/9-17	1995-03-03	0.00	0.00	0.00
30/9-18	1995-03-14	0.00	0.00	0.00
25/9-1	1995-03-28	0.00	0.00	0.00
30/9-17 R	1995-04-11	0.00	0.00	0.00
34/10-39 S	1995-05-31	0.00	0.00	0.00
17/3-1	1995-06-29	0.00	0.00	0.00
6608/10-5	1995-07-05	0.00	0.00	0.00
25/8-7	1995-07-21	0.00	0.00	0.00
JOTUN	1995-07-27	23.60	1.10	24.70
34/10-40 S	1995-08-13	0.00	0.00	0.00
